instance_id,scenario,subtype,subtype_zh,migration_type,migration_type_zh,implementation_scope,implementation_scope_zh,logic_equivalence_scope,logic_equivalence_scope_zh,repo_full_name,repo_created_at,repo_stars,pr_number,pr_url,pr_created_at,title,body_summary,changed_file_summary,has_tests_before,has_tests_before_zh,adds_new_tests,adds_new_tests_zh,auto_signals,auto_signals_zh,manual_label,manual_label_zh,source_language,source_language_zh,target_language,target_language_zh,source_version,target_version,migration_pattern,test_framework,test_framework_zh,build_system,build_system_zh,reproducible,reproducible_zh,issue_rewrite_ready,issue_rewrite_ready_zh,leakage_risk,leakage_risk_zh,exclude_reason,exclude_reason_zh,reviewer,cross_check_status,cross_check_status_zh,notes
python_cpp__Azure-Samples__Durable-Task-Scheduler__pr243,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Azure-Samples/Durable-Task-Scheduler,2025-03-13T23:14:42Z,53,243,https://github.com/Azure-Samples/Durable-Task-Scheduler/pull/243,2026-04-08T19:23:10Z,Add Python samples for durabletask-python v1.4.0 features,## Summary Adds 4 new Python sample directories and updates 1 existing sample to cover the major features added in `durabletask-python` v1.4.0. ## New Samples ### `large-payload/` Demonstrates automatic externalization of oversized orchestration payloads to Azure Blob Storage using...,samples/durable-task-sdks/python/async-http-api/README.md; samples/durable-task-sdks/python/async-http-api/client.py; samples/durable-task-sdks/python/large-payload/README.md; samples/durable-task-sdks/python/large-payload/client.py; samples/durable-task-sdks/python/large-payload/docker-compose.yml; samples/durable-task-sdks/python/large-payload/requirements.txt; samples/durable-task-sdks/python/large-payload/worker.py; samples/durable-task-sdks/python/orchestration-management/README.md; samples/durable-task-sdks/python/orchestration-management/client.py; samples/durable-task-sdks/python/orchestration-management/requirements.txt; samples/durable-task-sdks/python/orchestration-management/worker.py; samples/durable-task-sdks/python/testing/README.md; samples/durable-task-sdks/python/testing/requirements.txt; samples/durable-task-sdks/python/testing/test_workflows.py; samples/durable-task-sdks/python/testing/workflows.py; samples/durable-task-sdks/python/work-item-filtering/README.md; samples/durable-task-sdks/python/work-item-filtering/client.py; samples/durable-task-sdks/python/work-item-filtering/requirements.txt; samples/durable-task-sdks/python/work-item-filtering/worker_a.py; samples/durable-task-sdks/python/work-item-filtering/worker_b.py,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__EasyPost__shentry__pr19,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,EasyPost/shentry,2016-05-12T21:44:13Z,12,19,https://github.com/EasyPost/shentry/pull/19,2026-04-08T19:14:01Z,new python versions,- Drops support for Python earlier than 3.9 - Adds support for Python 3.13 and 3.14 - Swaps setup.py for pyproject.toml - Swaps Makefile for Justfile - Swaps pip for uv - Migrates from Coveralls to Codecov - Updates dev dependencies,.github/workflows/ci.yml; CHANGELOG.md; Makefile; README.md; justfile; pyproject.toml; requirements-tests.txt; setup.py; shentry.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,,,setuptools,setuptools,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__HHS__simpler-grants-protocol__pr707,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,HHS/simpler-grants-protocol,2024-12-19T21:14:35Z,22,707,https://github.com/HHS/simpler-grants-protocol/pull/707,2026-04-13T19:22:56Z,[Issue #642] Python updates,"### Summary - Fixes #642 - Time to review: 5minutes ### Changes proposed > What was added, updated, or removed in this PR. This PR achieves several things. 1. Updates the Black code format library to version 26.3.1 to address a high vulnerability alert 2. As a result of the Black update in...",.changeset/array-default-any.md; lib/python-sdk/common_grants_sdk/client/opportunities.py; lib/python-sdk/common_grants_sdk/extensions/README.md; lib/python-sdk/common_grants_sdk/extensions/generate.py; lib/python-sdk/common_grants_sdk/schemas/pydantic/types.py; lib/python-sdk/examples/custom_fields.py; lib/python-sdk/examples/get_custom_fields.py; lib/python-sdk/examples/plugin_custom_fields.py; lib/python-sdk/examples/plugins/opportunity_extensions/__init__.py; lib/python-sdk/poetry.lock; lib/python-sdk/pyproject.toml; lib/python-sdk/tests/schemas/test_plugin_registry.py; lib/python-sdk/tests/utils/test_custom_fields.py; lib/python-sdk/tests/utils/test_plugin_generator.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__Kobzol__memviz__pr24,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Kobzol/memviz,2024-09-13T12:18:30Z,8,24,https://github.com/Kobzol/memviz/pull/24,2026-04-05T20:52:50Z,Python UI refinements,This pr adds: - ordering of heap objects using DFS - hiding objects when parent object is closed - persisting object state (open/closed) between steps - readme update,README.md; extension/README.md; extension/src/reactor/webviewMessageHandler/debugpy.ts; extension/static/scripts/debugpy/memviz_get_variables_info.py; memviz-ui/package.json; memviz-ui/src/visualization/debugpy/component-state.ts; memviz-ui/src/visualization/debugpy/components/heap/heap-block.vue; memviz-ui/src/visualization/debugpy/components/heap/heap.vue; memviz-ui/src/visualization/debugpy/components/places/stack-frame.vue; memviz-ui/src/visualization/debugpy/components/value/collection/dict.vue; memviz-ui/src/visualization/debugpy/components/value/collection/flat-collection.vue; memviz-ui/src/visualization/debugpy/components/value/object/object.vue; memviz-ui/src/visualization/debugpy/components/value/value-ref.vue; memviz-ui/src/visualization/debugpy/frame-visibility.ts; memviz-ui/src/visualization/debugpy/store.ts; memviz-ui/src/visualization/debugpy/type/lazy-value.ts; memviz-ui/src/visualization/debugpy/value-tracker.ts; package-lock.json,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__Pikselkroken__pixlstash__pr198,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Pikselkroken/pixlstash,2025-10-12T14:13:17Z,29,198,https://github.com/Pikselkroken/pixlstash/pull/198,2026-04-14T06:04:08Z,Python ssl,,CHANGELOG.md; pixlstash/server.py; pixlstash/startup_checks.py; tests/test_ssl_generation.py,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__SebastianSchmidl__periodicity-detection__pr50,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,SebastianSchmidl/periodicity-detection,2023-07-19T07:10:36Z,23,50,https://github.com/SebastianSchmidl/periodicity-detection/pull/50,2026-04-12T13:23:40Z,Update python versions,- Add support for Python 3.14 - Remove support for Python 3.9 - Update necessary dependencies and project configuration,.github/workflows/build.yml; .github/workflows/test-pr.yml; .pre-commit-config.yaml; .readthedocs.yaml; LICENSE; README.md; docs/index.rst; docs/requirements.txt; periodicity_detection/_version.py; periodicity_detection/methods/findfrequency.py; pyproject.toml; requirements.dev; requirements.txt; setup.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,,,setuptools,setuptools,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__altescy__colt__pr110,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,altescy/colt,2020-01-26T05:13:05Z,26,110,https://github.com/altescy/colt/pull/110,2026-04-15T02:37:27Z,Supports python 3.14,,.github/workflows/ci.yaml; pyproject.toml; src/colt/utils.py; uv.lock,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,,,poetry,Poetry,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__amd__Triton-XDNA__pr22,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,amd/Triton-XDNA,2026-02-19T09:41:07Z,30,22,https://github.com/amd/Triton-XDNA/pull/22,2026-03-20T18:46:18Z,Switch from Python aircc to C++ aircc binary,"## Summary - Replace the in-process Python `aircc.run()` call with a `subprocess.check_call()` to the C++ `aircc` binary shipped in the mlir-air wheel - The C++ binary (`mlir_air/bin/aircc`) is a full rewrite using LLVM's CommandLine library and in-process MLIR PassManager, intended to replace...",amd_triton_npu/backend/driver.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__amzn__selling-partner-api-sdk__pr721,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,amzn/selling-partner-api-sdk,2020-07-29T01:10:10Z,78,721,https://github.com/amzn/selling-partner-api-sdk/pull/721,2026-04-10T22:29:26Z,Update Python SDK,Update Python SDK with latest changes from upstream.,python/sdk/spapi/api/external_fulfillment_shipments_v2024_09_11/shipment_retrieval_api.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_cpp__apache__avro__pr3723,language_migration,python_cpp,Python 到 C/C++,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,apache/avro,2009-05-21T02:48:37Z,3264,3723,https://github.com/apache/avro/pull/3723,2026-04-06T09:32:41Z,[python] Fix python formatting,"<!-- *Thank you very much for contributing to Apache Avro - we are happy that you want to help us improve Avro. To help the community review your contribution in the best possible way, please go through the checklist below, which will get the contribution into a shape in which it can be best...",lang/py/avro/__main__.py; lang/py/avro/constants.py; lang/py/avro/datafile.py; lang/py/avro/name.py; lang/py/avro/test/test_schema.py; lang/py/setup.cfg,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,c++,C/C++,,,,test_files_detected,检测到测试文件,setuptools,setuptools,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
