instance_id,scenario,subtype,subtype_zh,migration_type,migration_type_zh,implementation_scope,implementation_scope_zh,logic_equivalence_scope,logic_equivalence_scope_zh,repo_full_name,repo_created_at,repo_stars,pr_number,pr_url,pr_created_at,title,body_summary,changed_file_summary,has_tests_before,has_tests_before_zh,adds_new_tests,adds_new_tests_zh,auto_signals,auto_signals_zh,manual_label,manual_label_zh,source_language,source_language_zh,target_language,target_language_zh,source_version,target_version,migration_pattern,test_framework,test_framework_zh,build_system,build_system_zh,reproducible,reproducible_zh,issue_rewrite_ready,issue_rewrite_ready_zh,leakage_risk,leakage_risk_zh,exclude_reason,exclude_reason_zh,reviewer,cross_check_status,cross_check_status_zh,notes
java_python__Axual__ksml__pr461,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Axual/ksml,2021-05-03T11:37:20Z,34,461,https://github.com/Axual/ksml/pull/461,2026-03-05T23:34:25Z,Fix user type parsing with/without default notation,"- Builds on earlier toString() work, and extends with always-sorted struct keys - Adds example for windowed AVRO keys, including SensorKey schema - Reverses the Python logic for single AVRO message generation and batch AVRO message generation - Fixes user type parsing for...",build-local-docker.sh; examples/00-example-generate-sensordata-avro-batch.yaml; examples/00-example-generate-sensordata-avro.yaml; examples/11-example-field-modification.yaml; examples/20-example-windowed-avro-state-store.yaml; examples/SensorKey.avsc; examples/ksml-runner.yaml; ksml-data-avro/src/main/java/io/axual/ksml/data/notation/avro/AvroDataObjectMapper.java; ksml-data-avro/src/test/java/io/axual/ksml/data/notation/avro/AvroDataObjectMapperTest.java; ksml-data/src/main/java/io/axual/ksml/data/mapper/NativeDataObjectMapper.java; ksml-data/src/main/java/io/axual/ksml/data/object/DataBytes.java; ksml-data/src/main/java/io/axual/ksml/data/object/DataMap.java; ksml-data/src/main/java/io/axual/ksml/data/object/DataPrimitive.java; ksml-data/src/main/java/io/axual/ksml/data/object/DataStruct.java; ksml-data/src/main/java/io/axual/ksml/data/serde/UnionSerde.java; ksml-data/src/main/java/io/axual/ksml/data/util/ConvertUtil.java; ksml-data/src/main/java/io/axual/ksml/data/util/JavaValuePrinter.java; ksml-data/src/main/java/io/axual/ksml/data/util/ValuePrinter.java; ksml-data/src/main/java/io/axual/ksml/data/value/Struct.java; ksml-data/src/test/java/io/axual/ksml/data/mapper/NativeDataObjectMapperTest.java,true,是,true,是,adds_new_tests; cross_language_mapping_visible; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；可见跨语言对应关系；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__ControlCore-Project__concore__pr252,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,ControlCore-Project/concore,2022-01-05T20:09:14Z,16,252,https://github.com/ControlCore-Project/concore/pull/252,2026-02-11T19:14:37Z,fix(java): rewrite literalEval() with recursive descent parser,"This PR fixes #228 related to the `literalEval()` implementation in `concoredocker.java`. The previous implementation was using `String.split("","")`, which caused problems in several situations such as nested structures (like lists inside dictionaries), strings containing commas or colons, and...",TestLiteralEval.java; concoredocker.java,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__RagnarGrootKoerkamp__BAPCtools__pr498,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,RagnarGrootKoerkamp/BAPCtools,2019-07-09T00:51:16Z,70,498,https://github.com/RagnarGrootKoerkamp/BAPCtools/pull/498,2025-12-30T14:23:06Z,"Schema, examples, tests for 2025-09","CUE schemas for `problem.yaml` and `test_group.yaml` that is consistent with `2025-09` of the problem package format, as well as resulting updates to the schema for `generators.yaml`. ### Schema The most important is probably the schema for `problem.yaml`, which I allow myself to copy here for...",.github/workflows/ci.yaml; bapctools/resources/support/schemas/generators.cue; bapctools/resources/support/schemas/generators_yaml_schema.json; bapctools/resources/support/schemas/make_json_schemas.sh; bapctools/resources/support/schemas/problem_yaml_schema.json; bapctools/resources/support/schemas/problemformat.cue; bapctools/resources/support/schemas/problempackageformat.cue; bapctools/resources/support/schemas/test_group_yaml_schema.json; test/problems/boolfind/problem.yaml; test/problems/constants/problem.yaml; test/problems/different/problem.yaml; test/problems/fltcmp/problem.yaml; test/problems/generatorincludes/problem.yaml; test/problems/guess/problem.yaml; test/problems/guessnoeofcheck/problem.yaml; test/problems/hello/problem.yaml; test/problems/hellounix/problem.yaml; test/problems/identity/problem.yaml; test/problems/interactivemultipass/problem.yaml; test/problems/multipass/problem.yaml,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__The-OpenROAD-Project__bazel-orfs__pr562,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,The-OpenROAD-Project/bazel-orfs,2024-02-06T17:24:15Z,24,562,https://github.com/The-OpenROAD-Project/bazel-orfs/pull/562,2026-03-22T16:40:21Z,Rewrite .github/ ad-hoc tests as idiomatic Bazel sh_test targets,"## Summary Consolidate CI from 5 jobs to 1 and make `bazelisk test ... --build_tests_only` the single source of truth for testing. Rewrite mock binaries in Python with unit tests so we're testing `.bzl` rule logic, not the OpenROAD binary. **Before**: 5 CI jobs, ad-hoc shell scripts in...",.bazelignore; .bazelrc; .github/ci.bazelrc; .github/scripts/build_local_target.sh; .github/scripts/extract_docker_revision.py; .github/scripts/smoketests.sh; .github/workflows/ci.yml; .github/workflows/lint.yml; .gitignore; MODULE.bazel; MODULE.bazel.lock; TESTING.md; chisel/BUILD; chisel/test.bzl; delivery/BUILD.bazel; fix_lint.sh; mock/chisel/BUILD.bazel; private/flow.bzl; requirements_features.in; requirements_features_lock_3_13.txt,true,是,false,否,strict_migration_signal; touches_code; touches_tests,强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__aaronsb__bosectl__pr20,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,aaronsb/bosectl,2026-04-05T03:00:18Z,9,20,https://github.com/aaronsb/bosectl/pull/20,2026-04-13T01:08:52Z,Rewrite catalog from decompiled Bose Music APK,## Summary - Rewrites the device catalog (Python / Rust / C++) using `io.intrepid.bose_bmap.model.enums.BoseProductId` from the decompiled Bose Music APK as the authoritative source. - Expands from 14 → 39 entries and corrects several misattributed PIDs that were inherited from `bose-dfu` /...,README.md; cpp/src/catalog.h; cpp/tests/test_catalog.cpp; docs/architecture.md; python/pybmap/catalog.py; python/tests/test_catalog.py; rust/src/catalog.rs,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__apache__fory__pr3557,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,apache/fory,2023-04-28T03:57:00Z,4298,3557,https://github.com/apache/fory/pull/3557,2026-04-12T11:31:44Z,feat(java): remove guava dependency from fory java,## Why? Make `fory-core` usable without requiring Guava on the runtime classpath while keeping Guava collection support available when the dependency is present. ## What does this PR do? - Marks the `guava` dependency in `java/fory-core` as optional. - Replaces the remaining Guava-based core...,benchmarks/java/src/main/java/org/apache/fory/benchmark/state/FlatBuffersState.java; benchmarks/java/src/main/java/org/apache/fory/benchmark/state/ProtoBuffersState.java; benchmarks/java/src/test/java/org/apache/fory/benchmark/state/JsonTest.java; java/fory-core/pom.xml; java/fory-core/src/main/java/org/apache/fory/collection/BiMap.java; java/fory-core/src/main/java/org/apache/fory/collection/Cache.java; java/fory-core/src/main/java/org/apache/fory/collection/CacheBuilder.java; java/fory-core/src/main/java/org/apache/fory/collection/ClassValueCache.java; java/fory-core/src/main/java/org/apache/fory/collection/Collections.java; java/fory-core/src/main/java/org/apache/fory/collection/MapMaker.java; java/fory-core/src/main/java/org/apache/fory/collection/MultiKeyWeakMap.java; java/fory-core/src/main/java/org/apache/fory/collection/ReferenceConcurrentMap.java; java/fory-core/src/main/java/org/apache/fory/config/ForyBuilder.java; java/fory-core/src/main/java/org/apache/fory/resolver/ClassResolver.java; java/fory-core/src/main/java/org/apache/fory/resolver/SharedRegistry.java; java/fory-core/src/main/java/org/apache/fory/resolver/TypeResolver.java; java/fory-core/src/main/java/org/apache/fory/serializer/Serializers.java; java/fory-core/src/main/java/org/apache/fory/serializer/collection/GuavaCollectionSerializers.java; java/fory-core/src/main/java/org/apache/fory/serializer/collection/MapLikeSerializer.java; java/fory-core/src/main/java/org/apache/fory/serializer/converter/FieldConverters.java,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__apache__zeppelin__pr5183,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,apache/zeppelin,2015-03-25T07:00:06Z,6617,5183,https://github.com/apache/zeppelin/pull/5183,2026-03-16T15:09:48Z,[ZEPPELIN-6404] Rewrite merge PR script in Python with no external dependencies,"## Summary - Rewrite `dev/merge_zeppelin_pr.py` as a single-file Python CLI (`dev/merge_pr.py`) - No external dependencies — uses only Python 3 built-in libraries (`urllib`, `json`, `subprocess`, `argparse`, `re`) - Runs directly with `python3 dev/merge_pr.py --pr <number> [flags]` - Non-...",dev/merge_pr.py,true,是,false,否,strict_migration_signal; touches_code,强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,,,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__delftdata__valentine__pr84,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,delftdata/valentine,2019-06-28T13:50:14Z,109,84,https://github.com/delftdata/valentine/pull/84,2026-03-30T06:59:33Z,Rewrite COMA algorithm in pure Python,"## Summary - **Adds `ComaPy`**, a pure Python implementation of the COMA 3.0 schema matching algorithm, eliminating the Java 6 runtime dependency (40MB JAR + subprocess IPC) - Faithfully reproduces COMA's matching pipeline: trigram (Dice) name/path similarity, TF-IDF instance matching with global...",.github/workflows/build.yml; README.md; pyproject.toml; requirements.txt; tests/data/source_candidates.csv; tests/data/target_candidates.csv; tests/test_algorithms.py; tests/test_coma_py_regression.py; tests/test_coma_py_units.py; valentine/algorithms/__init__.py; valentine/algorithms/coma/coma.py; valentine/algorithms/coma_py/__init__.py; valentine/algorithms/coma_py/coma_py.py; valentine/algorithms/coma_py/combination.py; valentine/algorithms/coma_py/matchers.py; valentine/algorithms/coma_py/schema.py; valentine/algorithms/coma_py/selection.py; valentine/algorithms/coma_py/similarity/__init__.py; valentine/algorithms/coma_py/similarity/datatype.py; valentine/algorithms/coma_py/similarity/tfidf.py,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__eclipse-scout__scout.rt__pr2136,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,eclipse-scout/scout.rt,2021-08-16T17:42:36Z,45,2136,https://github.com/eclipse-scout/scout.rt/pull/2136,2026-04-09T15:52:57Z,Remove empty java file,457158,org.eclipse.scout.rt.shared/src/main/java/org/eclipse/scout/rt/shared/extension/MethodState.java,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
java_python__eclipse-scout__scout.rt__pr2137,language_migration,java_python,Java 到 Python,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,eclipse-scout/scout.rt,2021-08-16T17:42:36Z,45,2137,https://github.com/eclipse-scout/scout.rt/pull/2137,2026-04-09T16:01:23Z,Remove empty java file,457158,org.eclipse.scout.rt.shared/src/main/java/org/eclipse/scout/rt/shared/extension/MethodState.java,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,java,Java,python,Python,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
