样本ID,场景,子类型(英文),子类型(中文),迁移类型(英文),迁移类型(中文),实现范围(英文),实现范围(中文),逻辑对应范围(英文),逻辑对应范围(中文),仓库名,仓库创建时间,仓库Stars,PR编号,PR链接,PR创建时间,标题,PR摘要,修改文件摘要,原始是否有测试(英文),原始是否有测试(中文),是否新增测试(英文),是否新增测试(中文),自动信号(英文),自动信号(中文),人工标签(英文),人工标签(中文提示),源语言(英文),源语言(中文),目标语言(英文),目标语言(中文),源版本,目标版本,迁移模式说明,测试框架(英文),测试框架(中文),构建系统(英文),构建系统(中文),可复现性(英文),可复现性(中文),是否适合改写Issue(英文),是否适合改写Issue(中文),泄漏风险(英文),泄漏风险(中文),排除原因(英文),排除原因(中文),标注人,交叉复核状态(英文),交叉复核状态(中文),备注
py2_py3__Ananay28425__Sequence-LLM__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Ananay28425/Sequence-LLM,,5,3,https://github.com/Ananay28425/Sequence-LLM/pull/3,,Harden ServerManager port reclaim with strict safety checks,### Motivation - Remove the unsafe unconditional kill behavior that could terminate unrelated processes listening on the same port. - Ensure port reclamation only targets processes owned or started by Sequence-LLM or known llama-server binaries/commands. - Provide a strict mode that refuses to...,src/seq_llm/core/server_manager.py; tests/unit/test_server_manager.py,true,是,false,否,strict_migration_signal; touches_code; touches_tests,强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,pytest,pytest,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Arvo-AI__aurora__pr143,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Arvo-AI/aurora,2026-01-22T14:12:32Z,134,143,https://github.com/Arvo-AI/aurora/pull/143,2026-03-06T21:43:16Z,fix slack env var raising value error,"Slack signing secret crash SLACK_SIGNING_SECRET was validated at module import time, causing the server to refuse to start if the env var wasn't set. Moved the check inside verify_slack_signature() so it follows the same lazy pattern as all other connectors — the server starts fine without it,...",server/routes/slack/slack_events_helpers.py; server/utils/db/db_utils.py,true,是,false,否,keyword_match; touches_code,命中关键词；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Calysto__metakernel__pr300,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Calysto/metakernel,2014-08-24T20:53:45Z,365,300,https://github.com/Calysto/metakernel/pull/300,2026-02-23T20:41:46Z,Add type annotations and mypy support,"## Summary - Add `py.typed` marker file (PEP 561) declaring the package as typed - Add `[tool.mypy]` configuration to `pyproject.toml` (Python 3.9, `ignore_missing_imports`, images subpackage excluded) - Add `typing` target to `Makefile` running `mypy metakernel/` - Add type annotations across...",Makefile; metakernel/_metakernel.py; metakernel/config.py; metakernel/display.py; metakernel/images/dragon.py; metakernel/magic.py; metakernel/magics/activity_magic.py; metakernel/magics/blockly_magic.py; metakernel/magics/brain_magic.py; metakernel/magics/cd_magic.py; metakernel/magics/connect_info_magic.py; metakernel/magics/conversation_magic.py; metakernel/magics/debug_magic.py; metakernel/magics/dot_magic.py; metakernel/magics/download_magic.py; metakernel/magics/edit_magic.py; metakernel/magics/file_magic.py; metakernel/magics/get_magic.py; metakernel/magics/help_magic.py; metakernel/magics/html_magic.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Calysto__metakernel__pr315,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Calysto/metakernel,2014-08-24T20:53:45Z,365,315,https://github.com/Calysto/metakernel/pull/315,2026-02-27T12:59:06Z,Remove Python 2 compatibility shims and modernize string formatting,"## Summary - Remove `u()` pass-through function and `basestring = str` alias from `replwrap.py` - Remove `u` from `__init__.py` public API (`import` and `__all__`) - Strip all `u""...""` string prefixes and `u(...)` call wrappers throughout the codebase - Convert `%-format` strings to f-strings...",metakernel/__init__.py; metakernel/_metakernel.py; metakernel/images/dragon.py; metakernel/magic.py; metakernel/magics/activity_magic.py; metakernel/magics/connect_info_magic.py; metakernel/magics/conversation_magic.py; metakernel/magics/debug_magic.py; metakernel/magics/download_magic.py; metakernel/magics/file_magic.py; metakernel/magics/help_magic.py; metakernel/magics/install_magic.py; metakernel/magics/install_magic_magic.py; metakernel/magics/macro_magic.py; metakernel/magics/magic_magic.py; metakernel/magics/parallel_magic.py; metakernel/magics/processing_magic.py; metakernel/magics/python_magic.py; metakernel/magics/shell_magic.py; metakernel/parser.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code,命中关键词；强迁移信号；修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,,,poetry,Poetry,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__HEPData__hepdata_lib__pr283,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,HEPData/hepdata_lib,2018-04-12T12:35:04Z,17,283,https://github.com/HEPData/hepdata_lib/pull/283,2025-09-25T08:22:50Z,Remove requirement of the future package,"`raise ... from` is available since forever?, so no need for keeping the obsolete future module The future package relies on 2to3, which was removed in python 3.13. We want to get rid of the future package in the LCG stacks for python 3.13 <!-- readthedocs-preview hepdata-lib start --> ---- 📚...",hepdata_lib/__init__.py; hepdata_lib/c_file_reader.py; hepdata_lib/root_utils.py; requirements.txt; tests/test_utilities.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__HyperionGray__massweb__pr3,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,HyperionGray/massweb,2015-03-17T20:58:39Z,48,3,https://github.com/HyperionGray/massweb/pull/3,2025-10-15T07:06:41Z,Update massweb to Python 3 and fix vulnerability detection bugs,## Overview This PR migrates the massweb vulnerability scanner from Python 2.7 to Python 3 and fixes critical bugs that prevented proper vulnerability detection and reporting. ## Issues Fixed ### Critical Bug: XSS Detection Not Working The XSS vulnerability checker was failing to detect cross-...,massweb/fuzz_generators/url_generator.py; massweb/fuzzers/bsqli_fuzzer.py; massweb/fuzzers/web_fuzzer.py; massweb/hadoop-utils/massweb_mapper.py; massweb/hadoop-utils/massweb_reducer.py; massweb/hadoop-utils/massweb_simple_reducer.py; massweb/mass_requests/mass_request.py; massweb/mass_requests/response_analysis.py; massweb/masscrawler/masscrawl.py; massweb/pnk_net/find_post.py; massweb/pnk_net/pnk_request.py; massweb/proxy_rotator/proxy_rotate.py; massweb/targets/target.py; massweb/vuln_checks/match.py; massweb/vuln_checks/xpathi.py; setup.py; test/docs/wiki_usage_test_4.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,setuptools,setuptools,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__IBM__dbt-watsonx-spark__pr61,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,IBM/dbt-watsonx-spark,2024-12-04T05:04:02Z,5,61,https://github.com/IBM/dbt-watsonx-spark/pull/61,2026-03-25T09:01:12Z,create_schema and location flags,resolves # [docs](https://github.com/dbt-labs/docs.getdbt.com/issues/new/choose) dbt-labs/docs.getdbt.com/# <!--- Include the number of the issue addressed by this PR above if applicable. PRs for code changes without an associated issue *will not be merged*. See CONTRIBUTING.md for more...,README.md; dbt/adapters/watsonx_spark/__version__.py; dbt/adapters/watsonx_spark/connections.py; dbt/adapters/watsonx_spark/http_auth/authenticator.py; dbt/adapters/watsonx_spark/http_auth/wxd_authenticator.py; dbt/adapters/watsonx_spark/impl.py; dbt/include/watsonx_spark/macros/adapters.sql; dbt/include/watsonx_spark/profile_template.yml; setup.py; tests/unit/test_create_schemas.py,true,是,true,是,adds_new_tests; strict_migration_signal; touches_code; touches_tests,新增测试；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,setuptools,setuptools,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__Juniper__ansible-junos-stdlib__pr768,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,Juniper/ansible-junos-stdlib,2014-01-23T19:28:58Z,335,768,https://github.com/Juniper/ansible-junos-stdlib/pull/768,2025-09-02T07:05:19Z,fix review comments,"Fix for ansible-test sanity errors observed with ansible [core 2.16.0] fix for #770 Fix for #771 v1.0.9 update ``` (review2venv) root@masterhost:~/ansible_review_comments2/ansible-junos-stdlib/ansible_collections/juniper/device# ansible-test sanity Running sanity test ""action-plugin-docs"" Running...",.github/workflows/ansible_lint.yml; ansible_collections/juniper/device/CHANGELOG.rst; ansible_collections/juniper/device/README.md; ansible_collections/juniper/device/galaxy.yml; ansible_collections/juniper/device/meta/runtime.yml; ansible_collections/juniper/device/plugins/connection/pyez.py; ansible_collections/juniper/device/plugins/module_utils/configuration.py; ansible_collections/juniper/device/plugins/modules/software.py; ansible_collections/juniper/device/requirements.txt; ansible_collections/juniper/device/tests/integration/targets/junos_config/tests/common/config.yml; ansible_collections/juniper/device/tests/integration/targets/junos_facts/tests/common/facts.yml; ansible_collections/juniper/device/tests/integration/targets/junos_rpc/tests/common/rpc.yml; ansible_collections/juniper/device/tests/integration/targets/junos_system/tests/common/system.yml; ansible_collections/juniper/device/tests/integration/targets/junos_table/tests/common/table.yml; ansible_collections/juniper/device/tests/sanity/ignore-2.16.txt; ansible_collections/juniper/device/tests/sanity/ignore-2.17.txt; ansible_collections/juniper/device/tests/sanity/ignore-2.18.txt; ansible_collections/juniper/device/tests/sanity/ignore-2.19.txt; ansible_collections/juniper/device/version.py; requirements.txt,true,是,true,是,adds_new_tests; keyword_match; strict_migration_signal; touches_code; touches_tests,新增测试；命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,high,高,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__LibrePhotos__librephotos__pr1780,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,LibrePhotos/librephotos,2020-11-11T23:08:19Z,7968,1780,https://github.com/LibrePhotos/librephotos/pull/1780,2026-04-05T16:58:53Z,Vendor django-chunked-upload and fix test suite,"Replaces the `git+https://github.com/derneuere/django-chunked-upload@master` dependency with a vendored copy, eliminating the fragile git dependency at install time. Also fixes 12 pre-existing test failures so the full suite passes cleanly (1249 tests, 19 skipped). ## Vendoring - Copied...",api/directory_watcher/__init__.py; api/perceptual_hash.py; api/tests/test_file_path_uniqueness.py; api/tests/test_photo_caption_model.py; api/tests/test_photo_metadata_api.py; api/tests/test_photo_model_integration.py; api/tests/test_reading_exif.py; api/tests/test_social_graph.py; api/tests/utils.py; chunked_upload/__init__.py; chunked_upload/admin.py; chunked_upload/constants.py; chunked_upload/exceptions.py; chunked_upload/management/__init__.py; chunked_upload/management/commands/__init__.py; chunked_upload/management/commands/delete_expired_uploads.py; chunked_upload/migrations/0001_initial.py; chunked_upload/migrations/__init__.py; chunked_upload/models.py; chunked_upload/response.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
py2_py3__MTG__freesound__pr1620,language_migration,py2_py3,Python 2 到 Python 3,version_migration,同语言版本迁移,not_applicable,不适用,same_logic_translation,同一逻辑翻译,MTG/freesound,2012-11-07T18:25:03Z,367,1620,https://github.com/MTG/freesound/pull/1620,2022-11-09T19:45:58Z,automatic conversion from futurize --stage1 with small fixes,**Issue(s)** This is a first step for Py3 migration #1083 **Description** This is the result of applying _Stage 1: “safe” fixes_ of `futurize`. Probably the most interesting change in this commit is the use of `absolute_import`. This caused problems with the mutual imports of `apiv2_utils.py` and...,_docs/api/add_examples_to_api_docs_source_files.py; _docs/api/generate_analysis_documentation/generate_analysis_rst.py; _docs/api/generate_analysis_documentation/generate_plots.py; accounts/management/commands/clean_old_tmp_upload_files.py; accounts/views.py; apiv2/apiv2_utils.py; apiv2/combined_search_strategies.py; apiv2/exceptions.py; apiv2/forms.py; apiv2/management/commands/basic_api_tests.py; apiv2/serializers.py; apiv2/tests.py; apiv2/throttling.py; apiv2/views.py; clustering/clustering.py; clustering/features_store.py; clustering/interface.py; clustering/tasks.py; freesound/settings.py; freesound/test_settings.py,true,是,false,否,keyword_match; strict_migration_signal; touches_code; touches_tests,命中关键词；强迁移信号；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,python,Python,2,3,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
