instance_id,scenario,subtype,subtype_zh,migration_type,migration_type_zh,implementation_scope,implementation_scope_zh,logic_equivalence_scope,logic_equivalence_scope_zh,repo_full_name,repo_created_at,repo_stars,pr_number,pr_url,pr_created_at,title,body_summary,changed_file_summary,has_tests_before,has_tests_before_zh,adds_new_tests,adds_new_tests_zh,auto_signals,auto_signals_zh,manual_label,manual_label_zh,source_language,source_language_zh,target_language,target_language_zh,source_version,target_version,migration_pattern,test_framework,test_framework_zh,build_system,build_system_zh,reproducible,reproducible_zh,issue_rewrite_ready,issue_rewrite_ready_zh,leakage_risk,leakage_risk_zh,exclude_reason,exclude_reason_zh,reviewer,cross_check_status,cross_check_status_zh,notes
python_java__256foundation__asic-rs__pr221,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,256foundation/asic-rs,2025-03-04T23:52:48Z,32,221,https://github.com/256foundation/asic-rs/pull/221,2026-04-07T21:23:19Z,fix(python): fix `into_unit` in the python bindings,"The symbols were flipped when using into unit in the python bindings, the value should be multiplied by the old unit then divided by the new unit.",python/pyasic_rs/data.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__EasyPost__shentry__pr19,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,EasyPost/shentry,2016-05-12T21:44:13Z,12,19,https://github.com/EasyPost/shentry/pull/19,2026-04-08T19:14:01Z,new python versions,- Drops support for Python earlier than 3.9 - Adds support for Python 3.13 and 3.14 - Swaps setup.py for pyproject.toml - Swaps Makefile for Justfile - Swaps pip for uv - Migrates from Coveralls to Codecov - Updates dev dependencies,.github/workflows/ci.yml; CHANGELOG.md; Makefile; README.md; justfile; pyproject.toml; requirements-tests.txt; setup.py; shentry.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,,,setuptools,setuptools,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__EggerMarc__tools-rs__pr37,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,EggerMarc/tools-rs,2025-02-03T20:42:26Z,7,37,https://github.com/EggerMarc/tools-rs/pull/37,2026-04-13T14:17:27Z,Feat/python,<!-- This is an auto-generated comment: release notes by coderabbit.ai --> ## Summary by CodeRabbit ## Release Notes * **New Features** * Added Python FFI support to enable writing and executing tools in Python alongside Rust tools. * **Documentation** * Added Python FFI support documentation...,Cargo.lock; Cargo.toml; README.md; ffi/tools_python/Cargo.toml; ffi/tools_python/src/decorator.rs; ffi/tools_python/src/lib.rs; tests/ffi_builder.rs; tests/ffi_python.rs; tests/fixtures/python/multi.py; tests/fixtures/python/no_tools.py; tests/fixtures/python/reverse.py; tests/fixtures/python/types_demo.py; tools_core/Cargo.toml; tools_core/src/ffi.rs,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__FLOX-Foundation__flox__pr91,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,FLOX-Foundation/flox,2025-05-25T13:27:47Z,192,91,https://github.com/FLOX-Foundation/flox/pull/91,2026-04-13T19:36:51Z,Python bindings,"This PR adds Python bindings for aggregators, backtest, books, composite book, indicators, optimizer, positions, profiles, replay, and segment operations",docs/how-to/python-bindings.md; docs/index.md; docs/reference/README.md; docs/reference/python/aggregators.md; docs/reference/python/backtest.md; docs/reference/python/books.md; docs/reference/python/engine.md; docs/reference/python/index.md; docs/reference/python/indicators.md; docs/reference/python/optimizer.md; docs/reference/python/positions.md; docs/reference/python/profiles.md; docs/reference/python/replay.md; docs/reference/python/segment_ops.md; include/flox/book/composite_book_matrix.h; include/flox/strategy/symbol_state_map.h; mkdocs.yml; python/aggregator_bindings.h; python/backtest_bindings.h; python/book_bindings.h,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__Farama-Foundation__Shimmy__pr139,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Farama-Foundation/Shimmy,2022-10-06T21:24:05Z,208,139,https://github.com/Farama-Foundation/Shimmy/pull/139,2026-04-05T22:07:38Z,Update python version,# Description Update python versions for currently maintained versions and fix the CI as much as possible.,.github/workflows/build-test.yml; .github/workflows/optional-test-bsuite.yml; .github/workflows/optional-test-dm-control-multiagent.yml; .github/workflows/optional-test-dm-control.yml; .github/workflows/optional-test-dm-lab.yml; .github/workflows/optional-test-meltingpot.yml; .github/workflows/optional-test-openspiel.yml; .pre-commit-config.yaml; README.md; bin/dm_lab.Dockerfile; docs/environments/dm_lab.md; pyproject.toml; setup.py; shimmy/__init__.py; shimmy/openspiel_compatibility.py; tests/test_bsuite.py; tests/test_dm_control.py; tests/test_meltingpot.py; tests/test_openspiel.py,true,是,false,否,touches_code; touches_tests,修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,test_files_detected,检测到测试文件,setuptools,setuptools,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__Kobzol__memviz__pr24,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Kobzol/memviz,2024-09-13T12:18:30Z,8,24,https://github.com/Kobzol/memviz/pull/24,2026-04-05T20:52:50Z,Python UI refinements,This pr adds: - ordering of heap objects using DFS - hiding objects when parent object is closed - persisting object state (open/closed) between steps - readme update,README.md; extension/README.md; extension/src/reactor/webviewMessageHandler/debugpy.ts; extension/static/scripts/debugpy/memviz_get_variables_info.py; memviz-ui/package.json; memviz-ui/src/visualization/debugpy/component-state.ts; memviz-ui/src/visualization/debugpy/components/heap/heap-block.vue; memviz-ui/src/visualization/debugpy/components/heap/heap.vue; memviz-ui/src/visualization/debugpy/components/places/stack-frame.vue; memviz-ui/src/visualization/debugpy/components/value/collection/dict.vue; memviz-ui/src/visualization/debugpy/components/value/collection/flat-collection.vue; memviz-ui/src/visualization/debugpy/components/value/object/object.vue; memviz-ui/src/visualization/debugpy/components/value/value-ref.vue; memviz-ui/src/visualization/debugpy/frame-visibility.ts; memviz-ui/src/visualization/debugpy/store.ts; memviz-ui/src/visualization/debugpy/type/lazy-value.ts; memviz-ui/src/visualization/debugpy/value-tracker.ts; package-lock.json,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,,,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__Pikselkroken__pixlstash__pr198,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Pikselkroken/pixlstash,2025-10-12T14:13:17Z,29,198,https://github.com/Pikselkroken/pixlstash/pull/198,2026-04-14T06:04:08Z,Python ssl,,CHANGELOG.md; pixlstash/server.py; pixlstash/startup_checks.py; tests/test_ssl_generation.py,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,test_files_detected,检测到测试文件,,,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__SUSE__BCI-dockerfile-generator__pr3676,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,SUSE/BCI-dockerfile-generator,2022-06-09T14:43:21Z,15,3676,https://github.com/SUSE/BCI-dockerfile-generator/pull/3676,2026-04-14T19:26:11Z,"Mark python 3.14 containers as latest, remove from python 3.13",,src/bci_build/package/python.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,,,,,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__SebastianSchmidl__periodicity-detection__pr50,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,SebastianSchmidl/periodicity-detection,2023-07-19T07:10:36Z,23,50,https://github.com/SebastianSchmidl/periodicity-detection/pull/50,2026-04-12T13:23:40Z,Update python versions,- Add support for Python 3.14 - Remove support for Python 3.9 - Update necessary dependencies and project configuration,.github/workflows/build.yml; .github/workflows/test-pr.yml; .pre-commit-config.yaml; .readthedocs.yaml; LICENSE; README.md; docs/index.rst; docs/requirements.txt; periodicity_detection/_version.py; periodicity_detection/methods/findfrequency.py; pyproject.toml; requirements.dev; requirements.txt; setup.py,true,是,false,否,touches_code,修改代码,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,,,setuptools,setuptools,unknown,待确认,needs_check,还需检查,medium,中,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
python_java__Simple-Robotics__pinocchio__pr32,language_migration,python_java,Python 到 Java,cross_language_migration,跨语言迁移,,部分功能迁移=partial_feature_migration；整仓翻译=full_repo_translation,,同一逻辑翻译=same_logic_translation；部分逻辑替换=partial_logic_replacement；逻辑不清=unclear_logic_mapping,Simple-Robotics/pinocchio,2025-02-10T17:57:42Z,14,32,https://github.com/Simple-Robotics/pinocchio/pull/32,2026-04-07T09:36:26Z,Lcaba python bindings,## Description Adds Python bindings for the LCABA algo in the Pin4 branch. ## Checklist - [ ] I have run `pre-commit run --all-files` or `pixi run lint`. - [x] I have performed a self-review of my own code - [x] I have commented my code where necessary - [ ] I have made corresponding changes to...,CHANGELOG.md; bindings/python/algorithm/expose-algorithms.cpp; bindings/python/algorithm/expose-loop-constrained-aba.cpp; examples/CMakeLists.txt; examples/simulation-closed-kinematic-chains.py; examples/simulation-lcaba.py; include/pinocchio/bindings/python/algorithm/algorithms.hpp; sources.cmake; unittest/python/CMakeLists.txt; unittest/python/bindings_lcaba.py,true,是,true,是,adds_new_tests; touches_code; touches_tests,新增测试；修改代码；修改测试,,正例=positive；负例=negative；不确定=uncertain,python,Python,java,Java,,,,unittest,unittest,cmake,CMake,unknown,待确认,needs_check,还需检查,low,低,,,,,待复核=pending；已复核=checked；有分歧=disagreed,
